ip,fqdn
5.186.56.205,3.dk.pool.ntp.org
5.186.56.205,3.europe.pool.ntp.org
5.186.224.242,2.dk.pool.ntp.org
5.188.142.196,0.ru.pool.ntp.org
5.188.142.196,europe.pool.ntp.org
5.188.142.196,ru.pool.ntp.org
5.189.151.39,1.de.pool.ntp.org
5.189.151.39,2.europe.pool.ntp.org
5.189.151.39,3.de.pool.ntp.org
5.189.151.39,3.europe.pool.ntp.org
5.189.151.39,de.pool.ntp.org
5.189.151.39,europe.pool.ntp.org
5.196.76.84,0.europe.pool.ntp.org
5.196.76.84,0.fr.pool.ntp.org
5.196.76.84,1.europe.pool.ntp.org
5.196.76.84,2.europe.pool.ntp.org
5.196.76.84,2.fr.pool.ntp.org
5.196.76.84,3.europe.pool.ntp.org
5.196.76.84,3.fr.pool.ntp.org
5.196.76.84,europe.pool.ntp.org
5.196.76.84,fr.pool.ntp.org
5.199.135.198,1.de.pool.ntp.org
5.199.135.198,3.de.pool.ntp.org
5.199.135.198,de.pool.ntp.org
5.199.135.198,europe.pool.ntp.org
5.200.6.34,0.nl.pool.ntp.org
5.200.6.34,2.europe.pool.ntp.org
5.200.6.34,3.europe.pool.ntp.org
5.200.6.34,europe.pool.ntp.org
5.200.6.34,nl.pool.ntp.org
5.223.49.159,0.sg.pool.ntp.org
5.223.50.207,0.sg.pool.ntp.org
5.223.54.153,0.asia.pool.ntp.org
5.223.54.153,1.asia.pool.ntp.org
5.223.54.153,2.asia.pool.ntp.org
5.223.54.153,2.sg.pool.ntp.org
5.223.54.153,sg.pool.ntp.org
5.254.77.191,0.us.pool.ntp.org
5.254.77.191,2.north-america.pool.ntp.org
5.254.77.191,3.north-america.pool.ntp.org
5.254.77.191,us.pool.ntp.org
8.208.101.163,gb.pool.ntp.org
8.208.101.163,uk.pool.ntp.org
8.209.100.79,0.europe.pool.ntp.org
8.209.100.79,de.pool.ntp.org
8.209.206.137,3.jp.pool.ntp.org
8.209.206.137,jp.pool.ntp.org
8.211.35.160,3.de.pool.ntp.org
8.219.216.20,2.sg.pool.ntp.org
8.219.216.20,sg.pool.ntp.org
8.220.135.46,0.asia.pool.ntp.org
8.220.135.46,0.ph.pool.ntp.org
8.220.135.46,1.ph.pool.ntp.org
8.220.135.46,ph.pool.ntp.org
13.51.141.188,1.se.pool.ntp.org
13.51.141.188,3.europe.pool.ntp.org
13.55.50.68,1.au.pool.ntp.org
13.55.50.68,1.oceania.pool.ntp.org
13.55.50.68,2.oceania.pool.ntp.org
13.55.50.68,3.au.pool.ntp.org
13.55.50.68,3.oceania.pool.ntp.org
13.55.50.68,au.pool.ntp.org
13.55.50.68,oceania.pool.ntp.org
13.126.27.131,0.in.pool.ntp.org
13.126.27.131,1.asia.pool.ntp.org
13.126.27.131,3.in.pool.ntp.org
13.200.20.166,2.in.pool.ntp.org
13.244.178.211,1.africa.pool.ntp.org
13.244.178.211,3.za.pool.ntp.org
14.102.99.217,1.nz.pool.ntp.org
14.102.99.217,2.nz.pool.ntp.org
14.102.99.217,2.oceania.pool.ntp.org
14.102.99.217,3.oceania.pool.ntp.org
14.102.99.217,nz.pool.ntp.org
14.102.99.217,oceania.pool.ntp.org
14.102.153.110,0.id.pool.ntp.org
14.139.60.103,1.in.pool.ntp.org
14.139.60.103,2.in.pool.ntp.org
14.139.60.106,2.in.pool.ntp.org
14.139.60.107,0.in.pool.ntp.org
14.139.60.107,2.in.pool.ntp.org
14.139.60.107,3.in.pool.ntp.org
15.204.66.224,0.north-america.pool.ntp.org
15.204.66.224,1.north-america.pool.ntp.org
15.204.66.224,2.us.pool.ntp.org
15.204.66.224,3.north-america.pool.ntp.org
15.204.66.224,3.us.pool.ntp.org
15.204.66.224,us.pool.ntp.org
15.204.231.227,2.us.pool.ntp.org
15.204.246.57,0.north-america.pool.ntp.org
15.204.246.57,0.us.pool.ntp.org
15.204.246.57,1.north-america.pool.ntp.org
15.204.246.57,2.north-america.pool.ntp.org
15.204.246.57,us.pool.ntp.org
15.207.248.194,2.asia.pool.ntp.org
15.207.248.194,3.in.pool.ntp.org
15.235.146.185,0.sg.pool.ntp.org
15.235.146.185,1.sg.pool.ntp.org
15.235.197.63,0.sg.pool.ntp.org
15.235.197.63,sg.pool.ntp.org
17.253.18.99,1.asia.pool.ntp.org
17.253.18.99,1.in.pool.ntp.org
17.253.18.99,2.in.pool.ntp.org
17.253.18.99,in.pool.ntp.org
17.253.18.131,3.in.pool.ntp.org
17.253.83.253,3.north-america.pool.ntp.org
18.159.228.147,de.pool.ntp.org
20.150.221.209,2.us.pool.ntp.org
23.25.68.225,us.pool.ntp.org
23.92.29.162,3.us.pool.ntp.org
23.93.251.54,0.north-america.pool.ntp.org
23.93.251.54,1.us.pool.ntp.org
23.93.251.54,2.us.pool.ntp.org
23.93.251.54,3.us.pool.ntp.org
23.93.251.54,us.pool.ntp.org
23.94.217.117,nl.pool.ntp.org
23.94.219.146,1.nl.pool.ntp.org
23.94.219.146,nl.pool.ntp.org
23.106.249.200,1.sg.pool.ntp.org
23.106.249.200,sg.pool.ntp.org
23.111.186.186,0.north-america.pool.ntp.org
23.111.186.186,1.north-america.pool.ntp.org
23.111.186.186,2.us.pool.ntp.org
23.111.186.186,3.north-america.pool.ntp.org
23.111.186.186,us.pool.ntp.org
23.128.92.19,3.ca.pool.ntp.org
23.128.92.19,3.north-america.pool.ntp.org
23.128.92.19,ca.pool.ntp.org
23.131.160.7,0.north-america.pool.ntp.org
23.131.160.7,1.us.pool.ntp.org
23.131.160.7,2.north-america.pool.ntp.org
