ip,familia,proveedor,hostname,primera_vez,ultima_vez
5.253.115.62,ipv4,nordvpn,de1106.nordvpn.com,2026-09-19,2026-09-20
5.253.115.74,ipv4,nordvpn,de1107.nordvpn.com,2026-09-19,2026-09-20
5.253.115.86,ipv4,nordvpn,de1108.nordvpn.com,2026-09-19,2026-09-20
5.253.115.109,ipv4,nordvpn,de1119.nordvpn.com,2026-09-19,2026-09-20
5.253.115.110,ipv4,nordvpn,de1120.nordvpn.com,2026-09-19,2026-09-20
5.253.115.111,ipv4,nordvpn,de1121.nordvpn.com,2026-09-19,2026-09-20
5.253.115.112,ipv4,nordvpn,de1122.nordvpn.com,2026-09-19,2026-09-20
5.253.115.113,ipv4,nordvpn,de1123.nordvpn.com,2026-09-19,2026-09-20
5.253.115.114,ipv4,nordvpn,de1124.nordvpn.com,2026-09-19,2026-09-20
5.253.115.115,ipv4,nordvpn,de1125.nordvpn.com,2026-09-19,2026-09-20
5.253.115.116,ipv4,nordvpn,de1126.nordvpn.com,2026-09-19,2026-09-20
5.253.115.117,ipv4,nordvpn,de1127.nordvpn.com,2026-09-19,2026-09-20
5.253.205.179,ipv4,surfshark,be-bru.prod.surfshark.com,2026-09-20,2026-09-20
5.253.205.213,ipv4,surfshark,be-bru.prod.surfshark.com,2026-09-20,2026-09-20
5.253.206.59,ipv4,nordvpn,pl207.nordvpn.com,2026-09-19,2026-09-20
5.253.207.19,ipv4,nordvpn,at107.nordvpn.com,2026-09-19,2026-09-20
5.253.207.195,ipv4,nordvpn,at108.nordvpn.com,2026-09-19,2026-09-20
5.253.207.203,ipv4,nordvpn,at80.nordvpn.com,2026-09-19,2026-09-20
5.253.207.211,ipv4,nordvpn,at109.nordvpn.com,2026-09-19,2026-09-20
5.253.207.219,ipv4,nordvpn,at110.nordvpn.com,2026-09-19,2026-09-20
14.102.90.91,ipv4,nordvpn,de1286.nordvpn.com,2026-09-19,2026-09-20
14.102.90.93,ipv4,nordvpn,de1287.nordvpn.com,2026-09-19,2026-09-20
14.102.90.95,ipv4,nordvpn,de1288.nordvpn.com,2026-09-19,2026-09-20
14.102.90.97,ipv4,nordvpn,de1289.nordvpn.com,2026-09-19,2026-09-20
23.136.68.131,ipv4,surfshark,us-dtw.prod.surfshark.com,2026-09-19,2026-09-19
23.136.68.133,ipv4,surfshark,us-dtw.prod.surfshark.com,2026-09-19,2026-09-19
